11-02-2025 | 15:48:39 | GET | / | 200 | 5.282ms
11-02-2025 | 15:48:48 | GET | /usres | 404 | 2.240ms
11-02-2025 | 15:48:57 | GET | /users | 401 | 1.449ms
11-02-2025 | 15:50:21 | POST | /login | 404 | 0.617ms
11-02-2025 | 15:50:50 | POST | /login | 404 | 0.810ms
11-02-2025 | 15:51:17 | POST | /login | 404 | 0.685ms
11-02-2025 | 15:52:18 | POST | /users/login | 500 | 127.441ms
11-02-2025 | 15:52:32 | POST | /user/login | 404 | 0.951ms
11-02-2025 | 15:52:35 | POST | /users/login | 500 | 121.108ms
11-02-2025 | 15:53:48 | POST | /users/register | 400 | 2.540ms
11-02-2025 | 15:54:39 | POST | /users/register | 400 | 0.541ms
11-02-2025 | 15:55:47 | POST | /register | 404 | 0.698ms
11-02-2025 | 15:55:51 | POST | /users/register | 400 | 0.413ms
11-02-2025 | 15:56:36 | POST | /users/register | 500 | 237.002ms
11-02-2025 | 15:57:11 | POST | /users/register | 400 | 0.411ms
11-02-2025 | 15:58:06 | POST | /users/login | 400 | 1.048ms
11-02-2025 | 15:58:38 | POST | /users/login | 200 | 325.507ms
11-02-2025 | 16:01:24 | GET | /users/ | 403 | 6.081ms
11-02-2025 | 16:02:33 | POST | /users/login | 500 | 116.971ms
11-02-2025 | 16:03:51 | POST | /users/login | 500 | 118.738ms
11-02-2025 | 16:06:36 | POST | /users/login | 500 | 195.619ms
11-02-2025 | 16:07:30 | POST | /users/login | 500 | 124.144ms
11-02-2025 | 16:08:12 | POST | /users/login | 400 | 4.928ms
11-02-2025 | 16:08:26 | POST | /users/login | 500 | 119.813ms
11-02-2025 | 16:09:00 | POST | /users/login | 500 | 124.152ms
11-02-2025 | 16:10:35 | POST | /users/login | 500 | 121.399ms
11-02-2025 | 16:11:32 | POST | /users/register | 500 | 122.136ms
11-02-2025 | 16:11:40 | POST | /users/register | 500 | 236.599ms
11-02-2025 | 16:13:42 | POST | /users/register | 500 | 119.836ms
11-02-2025 | 16:13:49 | POST | /users/register | 500 | 201.614ms
11-02-2025 | 16:17:03 | POST | /users/register | 500 | 137.813ms
11-02-2025 | 16:17:09 | POST | /users/register | 500 | 195.611ms
11-02-2025 | 16:22:13 | POST | /users/login | 500 | 116.035ms
11-02-2025 | 16:23:12 | POST | /users/login | 500 | 128.344ms
11-02-2025 | 16:23:13 | POST | /users/login | 500 | 117.842ms
11-02-2025 | 16:26:12 | POST | /users/login | 400 | 1.520ms
11-02-2025 | 16:26:25 | POST | /users/login | 500 | 117.922ms
11-02-2025 | 16:26:47 | POST | /users/login | 500 | 118.085ms
11-02-2025 | 16:27:25 | POST | /users/login | 500 | 118.315ms
11-02-2025 | 16:33:42 | POST | /users/login | 200 | 329.696ms
11-02-2025 | 16:34:07 | GET | /users/ | 200 | 127.168ms
11-02-2025 | 16:34:51 | POST | /users/register | 500 | 215.208ms
11-02-2025 | 16:37:41 | POST | /users/register | 500 | 128.362ms
11-02-2025 | 16:37:45 | POST | /users/register | 500 | 223.667ms
11-02-2025 | 16:37:58 | POST | /users/register | 500 | 198.488ms
11-02-2025 | 16:49:02 | POST | /users/register | 500 | 127.475ms
11-02-2025 | 16:49:07 | POST | /users/register | 500 | 346.329ms
11-02-2025 | 16:51:13 | POST | /users/register | 500 | 353.167ms
11-02-2025 | 16:56:56 | POST | /users/register | 500 | 351.176ms
11-02-2025 | 16:59:10 | POST | /users/register | 500 | 362.100ms
11-02-2025 | 17:03:50 | POST | /users/register | 500 | 366.163ms
11-02-2025 | 17:06:31 | POST | /users/register | 201 | 478.563ms
11-02-2025 | 18:15:19 | POST | /users/register | 201 | 469.086ms
11-02-2025 | 18:29:17 | POST | /users/login | 500 | 118.749ms
11-02-2025 | 18:31:32 | POST | /users/login | 200 | 324.668ms
12-02-2025 | 13:14:13 | POST | /users/login | 400 | 2.765ms
12-02-2025 | 13:16:11 | POST | /users/login | 200 | 1121.882ms
12-02-2025 | 13:16:50 | POST | /users/login | 200 | 320.807ms
12-02-2025 | 13:34:43 | POST | /users/register | 201 | 459.338ms
12-02-2025 | 13:40:50 | GET | /users/ | 200 | 132.063ms
12-02-2025 | 13:42:46 | GET | /users/67ab5714403d5dac2b687c68 | 200 | 2.882ms
12-02-2025 | 13:43:46 | GET | /users/67ab5931d4faa2224d2f5909 | 200 | 1.160ms
12-02-2025 | 13:46:38 | GET | /users/67ab636301017895d744db6a | 200 | 1.535ms
